MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
64,95,80,38,159,138,304,146,114,164
63,95,80,37,159,139,305,146,115,164
63,96,80,36,158,139,304,146,113,164
64,95,79,37,159,139,304,147,114,164
63,95,79,37,159,138,304,146,114,163
64,96,80,38,159,139,304,147,114,164
64,96,80,38,158,139,305,146,114,164
64,96,80,38,159,139,305,146,115,165
64,96,79,37,159,139,305,147,115,164
63,96,79,37,159,139,304,146,114,163
63,96,80,37,158,139,304,146,114,164
62,95,79,36,158,139,304,146,114,164
61,95,79,38,158,138,303,145,115,163
64,96,79,37,158,139,304,146,114,162
63,96,80,37,158,139,304,146,114,165
64,95,80,37,157,139,304,146,113,165
63,95,79,37,158,138,304,146,114,164
64,96,80,37,158,139,304,146,114,165
63,96,80,38,158,139,304,147,114,164
64,97,80,37,158,139,304,147,114,165
63,95,80,37,158,138,304,146,113,164
64,95,80,37,159,139,305,147,114,164
63,95,80,38,157,138,304,145,114,163
64,97,80,37,158,140,305,147,114,164
64,96,80,37,158,139,305,147,114,164
62,95,80,37,158,139,304,146,114,164
62,95,79,38,158,139,304,145,114,163
64,96,80,37,159,139,304,147,115,164
64,95,80,37,158,139,304,146,115,165
64,95,81,38,158,139,304,146,114,164
63,96,80,38,159,139,304,146,114,164
63,95,80,36,157,138,304,146,115,163
64,96,80,38,158,139,304,146,115,163
63,95,80,38,159,139,304,146,114,164
63,95,80,37,158,138,304,146,114,163
64,96,80,37,158,139,304,147,115,164
64,95,80,37,158,140,304,146,115,164
63,96,80,38,157,139,305,147,113,165
63,96,80,38,157,139,304,146,115,163
63,96,79,37,158,139,305,146,115,163
62,95,79,36,158,138,304,146,114,164
64,96,80,37,159,139,304,146,115,165
63,97,80,38,159,139,306,146,115,164
63,97,80,38,159,140,305,146,115,164
63,96,79,37,158,138,303,145,113,164
63,95,79,37,158,140,305,146,114,164
63,95,79,36,157,139,305,146,114,164
64,96,80,37,159,139,305,147,115,165
64,96,80,37,158,139,304,147,114,165
65,96,80,37,159,140,305,147,115,165
64,96,80,37,159,139,305,146,114,165
64,95,80,37,158,139,304,147,114,164
63,95,80,37,158,139,305,147,114,164
63,95,79,36,158,138,304,146,114,163
63,95,79,36,158,138,304,146,114,164
64,96,79,38,158,139,304,146,114,164
64,96,80,37,158,139,304,146,115,164
64,96,81,38,159,139,305,146,114,164
63,95,80,37,158,139,305,145,117,164
64,96,80,38,158,140,304,146,115,164
64,95,79,38,158,139,304,146,114,163
64,96,80,37,158,138,304,146,114,164
63,95,80,38,158,138,304,145,114,164
64,96,80,38,159,139,304,146,115,164
64,96,80,38,159,139,304,146,115,164
64,95,80,38,158,139,304,146,115,165
63,96,80,37,159,139,304,146,114,164
62,95,80,37,158,139,304,145,114,164
63,96,80,36,158,138,304,145,113,163
64,96,79,38,158,139,305,147,115,164
64,96,79,37,159,138,304,145,113,164
64,96,80,38,158,138,304,146,114,164
63,96,79,36,158,138,304,146,115,164
62,96,80,37,159,138,305,146,115,166
64,95,79,37,158,139,303,146,114,164
64,96,79,38,157,139,304,146,114,164
63,95,79,37,158,139,304,145,114,164
63,97,81,37,158,138,305,146,115,163
63,95,80,37,158,138,305,146,115,165
64,97,80,37,159,140,304,146,115,165
63,96,80,37,158,139,305,146,114,164
63,95,80,37,158,139,305,146,114,165
64,96,80,38,159,138,304,146,115,164
63,95,80,37,158,138,304,145,114,164
63,96,80,38,158,139,304,145,114,164
64,96,79,37,158,140,304,146,114,162
63,96,80,38,159,138,305,145,114,164
63,96,80,37,159,139,304,146,114,166
63,95,79,37,158,138,304,146,115,164
63,95,80,38,159,139,305,146,115,165
63,96,80,37,159,138,305,147,114,164
64,96,79,38,157,139,304,146,115,165
64,96,80,37,158,140,304,146,115,164
64,96,80,37,158,139,304,146,114,164
64,96,80,38,159,139,305,146,115,164
63,96,79,36,158,139,304,146,114,164
63,96,80,37,159,139,304,146,114,165
63,95,80,37,158,139,305,146,113,164
64,97,80,38,159,139,305,146,115,164
64,94,79,37,160,139,304,146,115,164
64,96,80,37,158,139,304,146,114,165
63,95,80,37,158,139,304,145,114,165
64,96,79,38,158,139,305,146,115,166
64,96,80,38,158,139,305,146,115,165
63,96,80,37,158,138,304,146,114,165
64,95,80,38,159,139,304,146,114,165
64,95,80,38,159,139,305,146,114,164
63,95,79,38,158,139,304,145,114,165
63,94,80,37,158,139,304,146,115,165
64,95,80,37,159,139,304,146,114,164
62,96,80,36,158,138,304,146,114,165
64,96,80,37,158,138,304,146,114,165
64,95,79,37,157,139,304,146,114,164
64,96,80,38,158,139,304,146,114,165
63,95,80,37,158,138,304,146,115,165
63,94,80,37,158,139,304,146,114,164
62,95,80,38,157,138,304,145,114,164
63,96,80,37,159,139,305,146,114,165
64,95,81,36,158,139,304,146,113,164
64,96,79,37,158,138,303,146,114,164
63,95,80,36,158,138,305,146,114,164
63,95,79,37,158,138,304,146,113,164
63,95,79,37,158,139,304,146,113,164
64,96,80,37,158,139,304,146,115,165
64,95,80,37,159,139,304,147,115,164
64,94,76,37,159,139,304,146,114,164
63,95,80,37,158,138,304,145,114,165
64,96,80,38,159,138,305,146,115,164
64,96,80,37,159,139,305,147,114,165
62,95,80,37,158,138,304,146,114,165
63,95,79,38,158,140,304,145,114,163
64,96,80,37,159,137,305,146,114,163
64,95,80,38,160,139,305,146,114,164
64,95,80,37,158,138,304,146,114,164
62,95,80,37,158,139,305,145,114,165
64,96,79,37,158,138,304,146,114,165
64,95,79,36,158,139,304,146,113,164
63,95,80,37,157,139,304,146,114,164
64,95,78,37,157,139,304,146,113,164
64,95,80,37,158,139,305,145,114,164
63,95,79,37,158,139,304,145,113,164
63,96,80,37,158,139,304,146,114,165
64,96,79,37,157,139,304,146,114,164
63,96,80,38,158,139,304,146,114,164
63,95,80,36,158,138,304,145,115,164
62,95,80,37,158,139,305,146,115,164
63,96,80,38,159,139,305,146,115,165
63,96,80,37,158,139,305,146,114,165
62,95,79,37,158,138,304,146,113,164
64,95,80,37,158,138,304,146,114,164
64,96,80,38,159,139,305,147,114,165
62,95,80,37,157,139,304,146,113,163
64,96,80,38,158,139,304,146,115,165
63,95,79,37,158,138,304,146,114,164
63,95,80,37,159,139,305,146,115,165
67,96,80,37,158,138,305,145,114,163
63,96,79,36,158,139,305,145,114,163
62,95,79,37,157,138,304,146,114,164
62,95,79,37,158,138,305,145,114,164
64,95,79,36,158,138,305,146,114,165
64,96,79,37,158,138,304,145,113,164
63,96,78,37,157,139,304,145,114,163
63,95,79,37,158,138,305,145,114,164
63,96,80,38,158,139,304,146,114,165
62,95,79,37,157,139,304,146,114,164
63,96,80,38,158,139,304,147,115,165
63,95,80,37,158,138,304,146,114,164
64,95,78,37,157,137,304,145,114,163
63,95,79,37,157,138,304,145,114,164
63,96,79,37,158,138,305,146,113,164
63,95,80,37,158,139,305,145,114,164
64,96,80,36,158,138,304,146,114,165
63,95,79,38,159,139,304,146,115,164
64,96,80,37,158,139,304,146,114,165
63,95,80,38,158,138,304,146,115,164
63,95,79,37,158,138,304,146,113,165
64,96,79,36,158,139,303,146,114,164
62,95,79,37,159,138,304,145,114,164
64,96,80,37,158,138,304,146,114,165
64,96,78,37,159,138,304,146,115,164
64,96,80,37,158,139,304,145,115,165
64,95,78,37,158,139,304,146,114,164
63,95,79,36,158,138,304,145,114,164
64,96,80,38,159,139,305,146,115,165
63,95,79,37,158,138,304,146,113,165
62,95,80,37,158,138,304,146,114,164
63,95,79,37,159,139,304,146,114,164
63,95,79,38,157,137,304,145,113,164
63,96,80,37,158,139,304,146,115,165
64,95,80,36,158,138,304,146,113,164
63,96,79,38,159,139,304,147,115,164
63,96,80,38,159,139,304,146,113,165
63,95,80,37,158,138,304,146,114,164
63,97,79,38,158,138,304,146,114,165
63,95,79,37,159,138,305,146,115,164
64,96,80,38,158,139,305,146,114,164
64,96,80,38,158,139,305,147,114,164
64,96,79,37,158,139,304,145,115,166
63,96,80,37,159,139,305,146,115,165
63,95,79,37,158,138,305,146,113,164
64,96,80,38,158,139,303,147,115,165
63,95,80,37,159,139,304,146,114,163
62,95,79,37,158,138,305,146,114,165
64,96,80,37,159,138,305,146,114,165
63,95,79,36,158,139,304,145,113,164
64,96,79,37,158,139,304,146,114,164
63,95,79,38,158,139,304,146,114,164
62,95,79,36,158,138,304,145,114,164
63,95,80,37,157,138,304,145,114,164
64,96,80,37,159,139,305,146,115,165
63,95,79,37,157,139,304,145,114,164
64,95,81,37,159,139,304,146,114,165
63,96,80,37,157,139,304,144,113,164
64,95,79,38,158,138,304,146,114,164
62,95,79,37,158,138,304,145,114,164
63,96,79,37,159,139,304,146,113,165
64,96,80,38,159,139,304,146,114,166
64,96,79,38,157,138,304,145,114,165
64,96,79,37,159,139,304,146,115,165
62,95,79,37,159,138,304,145,113,164
63,96,80,37,158,138,304,147,114,164
63,96,80,38,158,139,305,146,114,164
64,95,80,37,159,139,304,147,115,166
64,96,80,37,158,139,305,146,114,165
63,96,80,37,158,140,305,146,115,165
63,95,80,37,157,139,304,145,113,164
64,96,79,36,158,138,304,146,114,164
62,94,78,37,160,139,304,145,114,165
63,94,79,36,158,138,304,146,113,164
62,96,79,37,158,139,304,146,114,165
63,96,80,38,159,139,304,146,114,164
62,96,79,36,158,138,304,145,114,164
62,95,79,37,158,139,304,145,114,164
64,95,80,37,158,139,304,146,114,164
63,96,80,37,158,139,305,146,113,165
62,95,80,37,158,139,304,146,113,164
63,95,79,37,159,138,304,146,113,164
64,96,80,37,157,139,304,147,114,164
63,95,80,37,158,138,305,146,113,165
64,95,80,36,158,139,304,145,114,165
63,96,80,37,158,139,305,146,114,165
62,95,79,37,159,139,304,145,114,164
64,96,80,37,158,139,305,147,115,166
63,95,80,36,159,138,304,146,114,165
64,96,79,37,157,138,304,146,114,164
63,95,80,37,158,138,304,145,114,165
63,95,80,37,158,139,305,147,114,166
63,95,79,38,158,138,304,146,114,165
64,96,81,37,159,139,306,147,114,166
64,96,79,37,158,138,304,145,114,165
62,96,79,37,159,138,304,145,113,164
64,94,80,37,158,139,305,146,114,164
63,95,80,37,158,139,305,147,115,166
64,95,80,37,158,139,305,146,114,164
64,96,80,37,158,139,305,146,114,165
63,96,80,38,159,139,304,146,115,165
64,94,80,37,158,138,304,145,114,164
64,96,80,37,159,139,304,146,115,166
64,96,79,37,159,139,304,146,114,164
62,96,79,37,159,138,305,145,114,165
64,95,80,37,158,139,304,146,114,165
64,95,80,37,158,138,304,146,114,165
63,96,80,37,158,139,304,146,114,164
64,96,80,37,158,139,304,147,114,165
62,95,80,38,159,138,304,145,115,166
63,95,79,36,158,138,304,146,113,164
64,96,80,37,159,139,304,146,114,164
63,95,79,37,159,138,304,146,114,165
63,96,79,37,159,139,304,146,114,164
63,96,80,37,158,138,304,146,114,164
62,95,79,37,158,138,305,145,114,165
63,96,79,37,159,138,304,146,114,164
63,95,80,37,158,139,304,146,113,166
64,96,80,37,158,139,305,146,114,165
63,95,80,37,158,140,305,146,115,165
63,95,80,37,159,138,304,145,114,165
63,96,79,37,159,138,305,145,114,165
63,94,79,36,158,138,304,145,113,164
63,95,79,37,158,139,304,146,113,164
63,96,80,38,158,139,304,146,114,165
63,95,79,37,157,139,305,146,115,164
62,95,80,37,158,138,305,146,114,165
64,96,79,38,158,139,304,147,114,165
63,96,80,36,158,138,305,146,114,165
62,94,79,37,158,138,304,146,114,165
63,96,80,37,158,139,305,145,114,165
63,96,80,37,158,138,305,146,114,165
63,96,80,36,158,139,304,146,114,164
62,95,79,37,158,138,304,145,114,164
64,96,79,38,157,139,304,145,113,164
64,96,80,38,158,138,304,146,115,165
62,95,80,36,158,138,305,146,114,165
64,96,80,37,158,139,304,146,114,165
63,95,80,36,158,139,304,146,114,163
63,95,80,37,158,139,304,146,113,166
63,96,80,37,159,138,304,146,115,165
62,96,79,37,158,138,304,146,114,164
63,95,80,37,159,139,305,147,114,165
62,95,79,37,157,138,304,146,114,164
64,96,80,37,158,139,305,146,115,164
62,95,78,36,157,138,304,146,114,164
63,96,79,37,158,139,304,146,114,165
64,95,79,37,158,138,304,146,115,164
63,95,79,37,157,138,304,146,114,164
64,96,80,36,158,138,305,146,114,165
64,95,79,37,158,139,304,146,115,164
64,95,80,37,158,138,303,146,114,164
64,96,79,38,159,139,305,146,114,164
63,94,80,37,158,139,305,146,113,165
64,96,80,38,159,139,304,146,114,165
62,95,79,36,158,138,304,146,113,165
63,96,79,37,158,139,304,146,114,165
63,96,80,37,158,139,305,145,114,165
64,95,80,37,159,139,304,146,114,164
63,94,79,37,157,138,304,146,114,164
63,96,79,37,158,138,304,145,114,163
64,96,80,36,158,139,305,147,114,164
63,96,80,37,159,139,305,147,114,164
63,95,79,37,158,139,304,146,113,164
64,96,80,37,158,139,304,146,113,164
62,95,80,36,158,139,304,145,114,164
64,95,80,38,158,139,304,146,114,166
64,96,80,38,158,139,304,146,114,164
64,96,80,37,158,139,304,146,113,164
63,96,81,37,159,138,305,147,114,165
64,96,80,37,158,139,304,146,114,165
63,95,80,36,158,138,304,145,114,165
63,95,80,37,158,138,304,145,113,164
63,95,80,37,158,138,304,146,113,164
63,95,80,36,158,138,304,145,113,164
64,96,80,37,158,138,304,146,114,164
63,96,79,37,159,139,304,145,114,165
64,95,80,37,159,139,304,147,113,164
62,95,80,37,159,138,304,145,114,165
64,95,80,37,159,141,304,146,114,165
64,95,80,37,159,139,304,145,114,165
64,95,80,37,158,138,304,146,114,165
63,96,80,37,159,138,304,146,115,165
62,96,81,38,159,138,305,146,115,164
64,95,80,37,159,139,304,146,114,165
64,96,80,37,159,138,305,146,114,164
63,96,80,37,158,139,303,146,114,165
63,95,79,37,158,138,304,145,113,164
64,96,80,38,159,139,304,146,115,165
63,95,79,36,159,138,304,145,114,165
63,95,77,37,158,138,304,146,113,165
63,96,81,37,159,139,305,147,114,166
64,96,80,37,158,139,305,146,115,165
64,96,80,37,158,140,305,146,114,165
63,95,79,37,158,138,304,143,113,165
63,95,80,37,158,139,304,145,114,164
64,96,80,37,159,138,305,146,113,165
63,96,80,38,158,140,304,147,115,165
62,95,79,37,158,137,305,146,114,164
63,95,80,37,158,139,304,146,113,164
63,95,81,37,159,140,304,145,114,165
64,96,80,37,158,139,305,146,114,165
63,95,80,37,158,138,305,146,115,166
63,94,79,37,158,139,304,146,113,164
64,95,80,36,159,138,305,145,114,165
64,95,80,38,159,139,304,145,114,164
63,95,80,37,158,138,304,146,113,165
64,96,80,38,159,139,305,146,114,164
64,96,79,37,159,139,305,146,114,165
64,96,80,37,159,140,304,146,114,164
64,96,81,37,159,138,305,146,115,165
63,95,80,37,160,138,305,145,114,164
64,96,80,37,159,139,304,146,114,165
63,95,80,36,158,138,304,146,114,164
63,96,80,37,158,138,305,146,117,166
63,94,80,36,158,138,304,145,114,164
64,95,80,37,158,138,304,146,114,165
63,96,80,38,158,139,305,146,115,164
64,96,80,37,158,139,304,146,114,165
64,96,81,37,159,139,304,146,114,165
63,95,80,37,158,139,304,146,114,166
62,95,80,37,158,138,304,145,114,164
63,96,79,37,158,138,304,145,113,164
64,96,79,38,159,138,304,146,114,165
62,96,79,37,158,139,304,145,114,164
64,95,80,38,158,139,304,146,114,165
63,96,81,37,161,139,304,146,113,165
63,95,79,37,158,139,304,145,113,164
63,96,80,37,159,139,304,146,114,164
64,95,79,37,158,138,304,146,113,164
63,95,79,37,157,138,304,145,114,163
64,95,80,36,158,138,304,146,113,165
63,96,80,37,158,138,304,146,114,164
63,96,79,36,159,138,304,145,113,164
63,95,79,37,158,138,304,145,114,165
63,96,80,38,158,139,304,146,114,165
63,95,79,37,158,139,304,146,113,165
62,96,79,37,158,139,304,145,114,165
63,96,80,38,161,140,305,146,114,165
64,95,80,37,159,138,304,146,114,165
62,95,79,37,157,139,304,146,114,164
64,94,79,37,159,138,303,146,113,164
63,95,80,36,158,139,304,146,114,165
63,96,80,37,158,138,304,145,114,164
63,95,79,37,158,138,304,146,114,165
64,96,80,37,158,139,305,146,114,164
62,94,79,37,157,139,304,145,114,164
63,95,80,37,158,138,304,145,113,165
64,96,80,37,158,139,303,146,114,164
64,95,78,37,158,139,304,145,114,164
63,96,80,37,159,138,304,145,113,165
62,95,78,36,158,138,304,145,114,165
63,95,79,36,156,138,304,145,114,164
63,95,80,37,157,139,304,146,113,164
63,95,80,36,159,139,303,146,114,166
63,97,80,38,157,140,304,145,115,165
64,96,79,36,158,138,304,146,113,164
63,95,79,37,157,138,304,146,115,165
63,95,79,37,159,139,304,146,113,165
63,96,79,36,158,139,304,147,114,164
63,95,80,37,158,138,304,145,113,165
62,95,80,37,158,139,304,146,114,164
63,96,80,37,158,139,305,146,114,165
62,96,80,37,159,139,304,147,113,165
64,95,80,37,158,139,304,146,114,165
63,94,79,36,158,138,304,145,113,164
64,95,79,37,159,139,307,147,114,165
64,95,80,37,158,138,304,146,114,164
64,96,81,38,159,139,304,146,114,166
62,95,79,37,158,138,304,145,114,164
63,95,80,37,158,139,304,146,114,164
61,94,80,37,158,139,304,146,113,164
63,96,79,37,159,139,304,146,114,165
64,96,80,37,158,139,304,146,115,164
62,96,81,37,158,139,304,146,114,166
64,96,81,38,159,139,304,146,115,165
64,96,80,37,158,138,304,146,114,164
63,95,80,36,157,139,304,146,113,165
64,95,80,37,158,138,304,146,113,165
62,93,79,37,158,138,304,145,114,164
63,95,79,37,160,139,304,146,114,164
64,96,80,37,158,138,304,145,113,165
64,95,80,37,158,139,304,146,114,164
64,96,80,37,159,139,304,146,114,165
64,94,79,37,157,138,303,146,113,165
63,95,79,37,158,138,302,146,113,164
64,95,79,38,158,138,303,146,114,165
64,96,80,37,158,139,304,146,114,164
64,95,80,36,158,138,304,145,113,164
64,94,81,37,158,139,303,146,113,165
64,96,80,37,158,139,304,146,114,164
64,96,79,37,158,139,306,145,115,164
63,95,80,36,158,138,304,145,113,165
63,96,81,37,158,139,304,146,115,165
64,95,80,37,159,139,304,146,114,165
64,96,80,37,159,139,304,146,114,165
64,96,80,36,159,139,305,147,114,165
63,96,80,37,159,138,304,145,114,164
63,95,80,37,158,139,304,146,113,164
63,96,80,38,158,139,304,146,114,164
63,94,80,36,158,138,303,146,114,165
63,96,80,37,159,138,304,146,114,164
63,94,80,37,157,138,304,145,113,164
63,95,80,37,158,138,304,146,113,164
63,96,80,37,159,139,306,147,115,166
64,96,80,37,159,139,306,146,115,165
63,95,80,36,159,138,304,146,113,164
64,94,79,36,158,139,303,145,114,165
63,95,80,37,159,139,304,145,113,165
63,95,80,37,157,136,303,145,114,164
64,96,80,37,158,139,304,146,114,165
64,96,80,38,158,138,304,145,114,164
64,95,80,36,158,139,303,146,113,164
63,95,80,37,158,138,304,145,114,163
64,94,79,36,158,138,304,146,114,164
63,95,80,38,158,138,304,145,114,165
63,95,79,37,158,138,303,145,114,164
62,95,80,37,158,137,304,146,113,164
64,95,80,37,157,139,304,146,114,165
64,96,80,37,158,139,304,147,114,164
64,96,80,38,158,138,304,146,114,165
63,96,80,38,159,138,304,146,113,165
64,95,80,37,159,138,304,145,113,164
64,96,82,37,159,139,304,146,114,165
64,96,80,37,159,139,304,147,113,165
63,95,80,36,157,139,303,145,113,164
64,96,79,37,158,138,304,146,113,164
63,96,80,38,158,139,304,146,114,164
64,95,80,37,158,139,303,145,114,165
64,95,80,37,158,139,304,147,114,164
63,95,80,37,159,139,304,146,113,164
64,95,80,38,158,138,304,146,115,165
62,95,79,37,157,138,303,145,114,164
64,95,80,37,158,138,304,146,114,165
64,94,80,37,159,138,304,146,113,165
64,94,80,36,158,139,304,146,114,165
63,95,81,37,159,138,304,146,114,166
63,96,80,37,159,139,304,146,112,165
64,96,81,37,159,139,304,146,114,166
64,95,80,37,158,139,304,146,114,165
64,95,80,37,158,138,304,145,114,165
64,95,80,37,157,138,304,146,113,164
64,96,80,37,158,139,305,147,113,165
63,95,80,37,159,138,303,146,113,165
63,95,80,37,158,139,304,145,114,164
63,95,80,36,158,139,303,145,113,165
64,95,80,37,159,138,304,146,114,165
64,95,80,37,159,138,304,145,114,165
63,95,79,36,158,138,304,146,112,164
64,96,80,38,159,140,304,145,114,165
62,95,80,36,158,139,303,146,113,164
64,96,80,37,158,138,304,147,114,165
63,96,80,37,159,139,305,146,114,165
64,95,80,37,157,138,304,146,113,165
64,96,80,37,158,139,304,146,113,165
64,96,80,38,159,139,305,145,114,165
64,95,80,37,158,138,304,146,114,164
64,95,80,37,158,138,303,146,113,164
64,96,80,37,159,139,304,146,114,165
62,95,80,36,158,138,303,145,114,164
64,95,80,37,159,139,304,146,114,165
63,95,79,37,158,138,303,145,113,165
63,94,78,34,157,137,304,146,113,165
64,95,80,37,159,139,305,146,114,165
63,96,81,37,160,140,306,147,114,166
64,95,81,37,159,138,305,146,114,165
63,95,80,36,159,139,304,145,114,164
64,96,80,37,158,139,304,146,113,165
63,96,80,37,159,139,305,146,114,166
64,96,80,38,158,139,304,145,114,165
63,95,80,36,157,138,304,146,113,164
64,95,80,37,159,139,304,146,114,165
63,96,80,38,159,139,304,146,114,165
64,96,80,37,159,139,304,146,114,165
63,94,80,37,158,138,304,146,114,165
64,95,80,37,158,138,304,145,114,164
63,95,80,37,159,138,304,146,114,165
64,96,81,37,158,139,304,146,115,165
64,96,80,37,159,139,304,146,114,164
64,95,79,37,159,138,304,145,113,165
64,97,81,38,158,139,304,146,114,164
64,94,79,36,158,138,303,146,113,164
64,96,79,37,159,139,305,146,114,165
64,96,80,37,157,139,304,146,113,164
64,96,80,38,159,138,305,145,114,165
64,94,80,37,157,138,303,146,113,165
63,95,80,36,158,138,304,146,114,164
63,96,80,38,158,138,304,146,114,165
63,95,80,36,159,138,304,147,114,165
63,94,80,37,157,139,304,146,113,164
63,94,80,36,158,138,304,145,113,164
63,95,80,37,159,138,304,146,114,165
63,95,79,37,158,138,304,146,114,164
62,95,80,36,158,138,304,145,114,165
64,95,79,37,158,139,304,145,113,164
64,96,80,37,158,139,304,147,113,165
63,95,80,37,158,138,304,145,113,164
63,96,80,38,158,138,304,146,114,164
63,95,80,37,159,139,304,146,113,164
62,95,79,37,158,138,304,145,113,164
63,95,79,38,158,138,304,145,114,164
64,96,80,37,158,139,304,146,114,166
63,95,80,37,159,137,304,146,114,164
63,95,79,37,157,138,304,145,114,164
63,96,80,37,159,139,305,145,115,165
64,95,80,38,158,138,304,146,114,165
63,95,80,38,159,138,304,146,114,164
63,95,79,37,159,139,304,146,114,166
64,95,80,37,158,138,303,145,113,164
63,96,80,38,158,139,304,146,113,164
63,95,80,37,157,138,303,146,113,164
64,95,81,37,159,138,304,146,113,164
64,95,80,36,158,139,304,146,114,166
62,95,80,37,158,138,304,146,114,164
64,95,80,37,158,139,304,146,114,164
63,96,80,38,159,138,304,146,114,165
64,96,80,38,158,138,304,146,113,165
63,96,80,37,158,138,304,146,114,164
64,96,80,37,158,138,304,146,114,166
64,96,80,38,158,138,304,146,114,165
64,96,80,38,158,139,304,146,114,165
62,95,79,37,158,138,304,145,113,165
63,95,78,36,157,137,304,145,114,164
64,96,80,37,158,138,304,146,114,166
64,96,80,38,158,140,304,147,114,165
64,96,80,36,159,139,304,146,114,165
63,96,80,38,159,139,304,146,114,164
63,95,80,36,158,138,304,146,114,165
63,95,79,36,158,138,304,146,114,164
63,95,80,36,158,138,303,146,113,164
64,95,81,37,158,138,304,146,114,165
63,95,79,37,158,138,304,146,114,165
64,96,79,38,159,139,304,146,114,165
63,96,79,38,158,138,304,146,114,165
63,95,80,36,158,138,304,145,114,165
64,95,79,37,157,138,304,145,114,164
62,96,80,37,159,139,305,146,113,165
62,96,79,36,158,138,304,146,113,164
63,95,79,37,158,138,304,145,113,164
63,96,80,37,158,138,303,145,113,164
63,95,79,37,158,138,304,145,113,164
63,95,79,36,158,137,304,145,113,164
64,96,80,36,159,138,304,146,113,164
62,96,80,37,159,138,304,146,114,165
62,96,80,37,158,138,304,145,114,165
64,95,79,37,157,139,305,145,114,164
64,96,80,37,158,139,304,146,114,165
64,96,80,37,157,138,304,146,113,165
63,95,78,37,158,137,304,145,113,165
63,96,80,37,158,138,304,146,114,164
62,95,80,37,157,138,304,146,113,163
63,96,80,37,158,139,304,146,113,165
62,95,80,36,158,137,304,145,113,164
63,96,80,38,158,138,304,146,114,165
63,95,80,37,158,139,304,146,114,164
63,96,80,37,159,138,303,146,113,164
63,95,80,36,158,138,304,146,113,164
64,96,80,37,158,138,305,147,114,165
62,95,80,36,158,138,303,146,114,164
64,96,79,37,157,139,304,146,114,165
64,96,80,37,159,138,304,146,114,166
63,97,79,37,159,138,305,146,114,165
63,96,80,37,158,138,304,146,114,165
64,96,80,38,158,138,305,145,115,165
63,95,80,38,158,139,304,146,115,164
62,95,79,37,158,138,304,146,113,166
62,96,79,37,159,138,303,146,114,164
63,96,80,37,159,138,305,146,114,165
62,96,79,36,158,138,304,145,113,164
64,94,79,37,158,138,303,146,113,165
62,95,80,37,158,137,304,146,113,164
63,95,79,37,158,138,304,146,113,165
62,96,80,37,158,137,304,145,114,165
64,95,80,37,159,139,304,146,114,164
63,96,80,36,158,139,304,146,114,165
64,95,80,37,158,138,304,146,114,164
63,96,80,37,158,138,304,146,114,166
63,96,80,37,158,139,304,145,113,165
63,96,80,37,159,138,304,147,114,164
63,95,79,37,158,138,303,145,114,165
64,96,80,37,158,138,304,147,113,165
64,96,78,37,159,138,304,146,114,164
63,96,80,37,159,139,304,146,114,166
63,95,80,36,158,138,304,146,115,165
63,95,79,36,158,138,304,146,113,164
64,96,80,37,158,139,304,146,114,165
62,95,80,37,158,138,304,146,114,165
63,95,79,37,159,137,303,146,113,164
64,95,80,37,158,138,304,145,113,164
64,95,80,37,158,138,303,146,113,164
64,96,80,37,159,138,305,146,114,165
63,96,80,37,159,139,303,145,114,165
63,95,79,37,158,138,303,145,113,165
64,95,80,36,159,138,304,146,114,165
63,96,80,37,159,138,304,147,113,165
64,95,79,37,158,138,304,146,114,165
63,96,80,36,158,138,304,145,114,164
63,95,80,37,158,138,304,145,114,165
63,95,80,36,158,138,303,145,113,164
64,95,80,36,158,138,304,145,114,164
63,95,80,36,158,137,303,146,113,165
64,95,80,37,158,137,304,147,113,164
64,96,80,36,158,138,305,146,114,164
63,96,78,37,159,138,303,145,114,164
64,94,78,36,158,138,303,145,114,164
64,96,80,37,159,138,304,146,113,165
64,95,80,37,157,138,304,146,114,164
64,96,80,37,158,138,304,146,114,165
64,96,80,37,158,138,302,146,112,164
63,95,79,37,158,138,303,146,113,164
63,95,80,38,158,138,304,145,114,165
64,96,80,37,159,138,305,146,114,165
65,96,80,38,159,138,304,146,113,165
64,94,80,37,158,138,303,146,114,165
64,95,79,37,158,138,304,146,114,164
64,96,80,38,158,138,304,145,114,165
63,95,80,37,158,138,303,146,114,163
64,95,80,37,158,139,304,146,114,165
63,96,80,38,158,138,305,145,114,165
64,96,80,37,158,139,303,146,113,165
64,94,79,36,158,137,304,146,113,164
64,95,79,37,159,138,304,146,114,164
64,96,80,36,158,138,304,146,114,165
64,96,80,37,159,138,304,146,114,166
64,95,80,36,158,137,303,146,113,164
63,95,80,36,157,138,303,145,114,164
64,95,81,36,158,139,304,147,114,165
63,95,79,37,158,137,303,146,113,164
63,95,80,37,158,138,303,145,114,165
64,95,80,37,158,138,303,145,114,164
64,94,80,37,159,139,304,146,114,165
64,94,80,37,159,138,304,146,114,164
63,96,80,37,158,138,303,147,114,165
64,95,80,37,158,138,304,146,113,165
63,95,79,36,159,138,303,145,113,164
64,95,80,37,158,138,303,147,113,165
64,95,80,37,158,139,303,146,113,164
63,95,81,37,158,138,304,146,114,165
64,95,80,35,158,137,303,145,113,164
64,95,81,37,159,139,304,146,113,166
63,95,80,36,158,137,303,145,113,164
62,95,80,35,158,138,303,145,113,164
